datetime,year,month,Date,expiry_date,Time,strike_price,open,high,low,close
2022-01-03 9:15:00,2022,1,3,27-Jan-22,9:15:00,15500,1961.55,2010,1961.55,2004.45
2022-01-04 9:15:00,2022,1,4,27-Jan-22,9:15:00,15500,2219.95,2250.7,2146.1,2190
2022-01-05 9:15:00,2022,1,5,27-Jan-22,9:15:00,15500,2313.7,2350.95,2289.7,2289.7
2022-01-06 9:15:00,2022,1,6,27-Jan-22,9:15:00,15500,2345.7,2345.7,2214.4,2250
2022-01-07 9:15:00,2022,1,7,27-Jan-22,9:15:00,15500,2361.05,2390.5,2355.5,2390.5
2022-01-10 9:15:00,2022,1,10,27-Jan-22,9:15:00,15500,2460.45,2460.45,2438,2438
2022-01-11 9:15:00,2022,1,11,27-Jan-22,9:15:00,15500,2558.8,2558.8,2501.45,2501.45
2022-01-12 9:15:00,2022,1,12,27-Jan-22,9:15:00,15500,2679.1,2689.65,2665,2675
2022-01-13 9:15:00,2022,1,13,27-Jan-22,9:15:00,15500,2748.4,2793.25,2748.4,2793.25
2022-01-14 9:15:00,2022,1,14,27-Jan-22,9:15:00,15500,2686.2,2699.8,2674.2,2699.8
2022-01-17 9:15:00,2022,1,17,27-Jan-22,9:15:00,15500,2816.2,2816.2,2760,2774.6
2022-01-18 9:15:00,2022,1,18,27-Jan-22,9:15:00,15500,2850,2850,2778.65,2778.65
2022-01-19 9:15:00,2022,1,19,27-Jan-22,9:15:00,15500,2541.2,2595,2480,2480
2022-01-20 9:15:00,2022,1,20,27-Jan-22,9:15:00,15500,2458.8,2458.8,2400,2438
2022-01-21 9:15:00,2022,1,21,27-Jan-22,9:15:00,15500,2100,2132.45,2039.55,2132.45
2022-01-24 9:15:00,2022,1,24,27-Jan-22,9:15:00,15500,2067.5,2109.35,1938,1975
2022-01-25 9:15:00,2022,1,25,27-Jan-22,9:15:00,15500,1475,1618.55,1368.35,1615
2022-01-27 9:15:00,2022,1,27,27-Jan-22,9:15:00,15500,1477.25,1542.15,1430.1,1450.5
2022-01-03 9:15:00,2022,1,3,27-Jan-22,9:15:00,15550,1949.15,1949.15,1949.15,1949.15
2022-01-13 9:15:00,2022,1,13,27-Jan-22,9:15:00,15700,2560.55,2560.55,2550.9,2552.5
2022-01-14 9:15:00,2022,1,14,27-Jan-22,9:15:00,15700,2465.2,2465.2,2465.2,2465.2
2022-01-27 9:15:00,2022,1,27,27-Jan-22,9:15:00,15700,1246.5,1289.65,1246.5,1289.65
2022-01-25 9:15:00,2022,1,25,27-Jan-22,9:15:00,15750,1289.15,1289.15,1289.15,1289.15
2022-01-12 9:15:00,2022,1,12,27-Jan-22,9:15:00,15800,2353.1,2353.1,2353.1,2353.1
2022-01-17 9:15:00,2022,1,17,27-Jan-22,9:15:00,15800,2475,2475,2475,2475
2022-01-24 9:15:00,2022,1,24,27-Jan-22,9:15:00,15800,1679.5,1679.5,1645.4,1645.4
2022-01-25 9:15:00,2022,1,25,27-Jan-22,9:15:00,15800,1231.1,1231.1,1231.1,1231.1
2022-01-25 9:15:00,2022,1,25,27-Jan-22,9:15:00,15850,1020.5,1027.85,1013.2,1027.85
2022-01-27 9:15:00,2022,1,27,27-Jan-22,9:15:00,15850,1096.7,1096.7,1096.7,1096.7
2022-01-06 9:15:00,2022,1,6,27-Jan-22,9:15:00,15900,1915,1915,1900,1900
2022-01-18 9:15:00,2022,1,18,27-Jan-22,9:15:00,15900,2425.35,2425.35,2425.35,2425.35
2022-01-19 9:15:00,2022,1,19,27-Jan-22,9:15:00,15900,2170,2170,2170,2170
2022-01-21 9:15:00,2022,1,21,27-Jan-22,9:15:00,15900,1715.2,1715.2,1715.2,1715.2
2022-01-24 9:15:00,2022,1,24,27-Jan-22,9:15:00,15900,1575.45,1575.45,1534,1534
2022-01-25 9:15:00,2022,1,25,27-Jan-22,9:15:00,15900,1016.85,1166.7,1011.85,1156.85
2022-01-27 9:15:00,2022,1,27,27-Jan-22,9:15:00,15900,1100,1126.8,1030.25,1040
2022-01-25 9:15:00,2022,1,25,27-Jan-22,9:15:00,15950,978.35,1015,978.35,1015
2022-01-03 9:15:00,2022,1,3,27-Jan-22,9:15:00,16000,1471.85,1520.7,1466.25,1510
2022-01-04 9:15:00,2022,1,4,27-Jan-22,9:15:00,16000,1729.9,1762.15,1644.2,1695.7
2022-01-05 9:15:00,2022,1,5,27-Jan-22,9:15:00,16000,1823,1857.1,1800,1830
2022-01-06 9:15:00,2022,1,6,27-Jan-22,9:15:00,16000,1852.75,1858.15,1738.9,1777
2022-01-07 9:15:00,2022,1,7,27-Jan-22,9:15:00,16000,1850,1921.35,1850,1921.35
2022-01-10 9:15:00,2022,1,10,27-Jan-22,9:15:00,16000,1956.25,1975,1924.6,1954.8
2022-01-11 9:15:00,2022,1,11,27-Jan-22,9:15:00,16000,2055,2060,2031,2031
2022-01-12 9:15:00,2022,1,12,27-Jan-22,9:15:00,16000,2180.45,2195,2171.15,2190
2022-01-13 9:15:00,2022,1,13,27-Jan-22,9:15:00,16000,2258,2296,2255,2293
2022-01-14 9:15:00,2022,1,14,27-Jan-22,9:15:00,16000,2181.15,2224,2150,2224
2022-01-17 9:15:00,2022,1,17,27-Jan-22,9:15:00,16000,2294,2311.95,2270,2270.95
2022-01-18 9:15:00,2022,1,18,27-Jan-22,9:15:00,16000,2347,2352,2285,2285
2022-01-19 9:15:00,2022,1,19,27-Jan-22,9:15:00,16000,2042.55,2095,1975,1975
2022-01-20 9:15:00,2022,1,20,27-Jan-22,9:15:00,16000,1935,1945.45,1900,1945.45
2022-01-21 9:15:00,2022,1,21,27-Jan-22,9:15:00,16000,1625.25,1625.25,1545.15,1624.6
2022-01-24 9:15:00,2022,1,24,27-Jan-22,9:15:00,16000,1561.9,1571.2,1442,1465.45
2022-01-25 9:15:00,2022,1,25,27-Jan-22,9:15:00,16000,974.85,1093.95,881,1093.95
2022-01-27 9:15:00,2022,1,27,27-Jan-22,9:15:00,16000,951.45,1042.3,926.2,952
2022-01-03 9:15:00,2022,1,3,27-Jan-22,9:15:00,16050,1432.05,1432.05,1432.05,1432.05
2022-01-18 9:15:00,2022,1,18,27-Jan-22,9:15:00,16050,2242.2,2242.2,2242.2,2242.2
