datetime,year,month,date,expiry_date,time,strike_price,open,high,low,close
2022-01-03 9:15:00,2022,1,3,27-Jan-22,9:15:00,15500,13.9,13.9,11.2,11.75
2022-01-04 9:15:00,2022,1,4,27-Jan-22,9:15:00,15500,8.55,9.15,8.2,8.65
2022-01-05 9:15:00,2022,1,5,27-Jan-22,9:15:00,15500,8,9.4,7.5,8.25
2022-01-06 9:15:00,2022,1,6,27-Jan-22,9:15:00,15500,11,13,9.05,11.15
2022-01-07 9:15:00,2022,1,7,27-Jan-22,9:15:00,15500,8.5,8.5,6.5,6.7
2022-01-10 9:15:00,2022,1,10,27-Jan-22,9:15:00,15500,5.45,5.5,4.3,4.85
2022-01-11 9:15:00,2022,1,11,27-Jan-22,9:15:00,15500,4.5,4.85,4.05,4.25
2022-01-12 9:15:00,2022,1,12,27-Jan-22,9:15:00,15500,3.95,4,3.3,3.7
2022-01-13 9:15:00,2022,1,13,27-Jan-22,9:15:00,15500,3.65,3.85,3.2,3.35
2022-01-14 9:15:00,2022,1,14,27-Jan-22,9:15:00,15500,3,3.65,2.85,2.9
2022-01-17 9:15:00,2022,1,17,27-Jan-22,9:15:00,15500,2.45,2.45,1.85,1.9
2022-01-18 9:15:00,2022,1,18,27-Jan-22,9:15:00,15500,1.9,1.95,1.8,1.85
2022-01-19 9:15:00,2022,1,19,27-Jan-22,9:15:00,15500,1.55,1.9,1.55,1.8
2022-01-20 9:15:00,2022,1,20,27-Jan-22,9:15:00,15500,1.9,1.9,1.1,1.3
2022-01-21 9:15:00,2022,1,21,27-Jan-22,9:15:00,15500,11.9,11.9,1.5,1.75
2022-01-24 9:15:00,2022,1,24,27-Jan-22,9:15:00,15500,2,2,0.95,1
2022-01-25 9:15:00,2022,1,25,27-Jan-22,9:15:00,15500,3,7.65,2,3.8
2022-01-27 9:15:00,2022,1,27,27-Jan-22,9:15:00,15500,0.35,1,0.35,0.5
2022-01-03 9:15:00,2022,1,3,27-Jan-22,9:15:00,15550,9.3,18.95,9.3,15.5
2022-01-04 9:15:00,2022,1,4,27-Jan-22,9:15:00,15550,7.35,7.35,7.35,7.35
2022-01-11 9:15:00,2022,1,11,27-Jan-22,9:15:00,15550,5.6,5.6,5.35,5.35
2022-01-18 9:15:00,2022,1,18,27-Jan-22,9:15:00,15550,2.4,2.4,2.4,2.4
2022-01-19 9:15:00,2022,1,19,27-Jan-22,9:15:00,15550,2.1,2.1,2.1,2.1
2022-01-21 9:15:00,2022,1,21,27-Jan-22,9:15:00,15550,2.6,2.6,1.8,1.95
2022-01-24 9:15:00,2022,1,24,27-Jan-22,9:15:00,15550,1.65,1.65,1.05,1.05
2022-01-25 9:15:00,2022,1,25,27-Jan-22,9:15:00,15550,2.3,8.2,1.55,4.1
2022-01-27 9:15:00,2022,1,27,27-Jan-22,9:15:00,15550,1.3,3.15,0.15,0.5
2022-01-03 9:15:00,2022,1,3,27-Jan-22,9:15:00,15600,15.45,23.25,12.5,12.85
2022-01-04 9:15:00,2022,1,4,27-Jan-22,9:15:00,15600,10.55,10.55,8.95,9.45
2022-01-05 9:15:00,2022,1,5,27-Jan-22,9:15:00,15600,9.15,9.2,8.45,9
2022-01-06 9:15:00,2022,1,6,27-Jan-22,9:15:00,15600,19.95,19.95,9.95,13.4
2022-01-07 9:15:00,2022,1,7,27-Jan-22,9:15:00,15600,8.05,8.4,7.5,7.6
2022-01-10 9:15:00,2022,1,10,27-Jan-22,9:15:00,15600,6.15,6.15,5.5,5.5
2022-01-11 9:15:00,2022,1,11,27-Jan-22,9:15:00,15600,4.4,5.85,4.4,5.85
2022-01-12 9:15:00,2022,1,12,27-Jan-22,9:15:00,15600,4.05,4.25,3.7,4.25
2022-01-13 9:15:00,2022,1,13,27-Jan-22,9:15:00,15600,5,5,4.1,4.35
2022-01-14 9:15:00,2022,1,14,27-Jan-22,9:15:00,15600,4.65,4.65,3.35,3.5
2022-01-17 9:15:00,2022,1,17,27-Jan-22,9:15:00,15600,2.55,2.55,2.1,2.15
2022-01-18 9:15:00,2022,1,18,27-Jan-22,9:15:00,15600,2.2,2.3,1.8,1.8
2022-01-19 9:15:00,2022,1,19,27-Jan-22,9:15:00,15600,2,2,1.7,1.75
2022-01-20 9:15:00,2022,1,20,27-Jan-22,9:15:00,15600,1.8,1.85,1.65,1.65
2022-01-21 9:15:00,2022,1,21,27-Jan-22,9:15:00,15600,2.3,2.5,1.8,2
2022-01-24 9:15:00,2022,1,24,27-Jan-22,9:15:00,15600,2,2,1.05,1.15
2022-01-25 9:15:00,2022,1,25,27-Jan-22,9:15:00,15600,9.95,9.95,2.15,4.45
2022-01-27 9:15:00,2022,1,27,27-Jan-22,9:15:00,15600,1.4,1.4,0.05,0.6
2022-01-03 9:15:00,2022,1,3,27-Jan-22,9:15:00,15650,14.05,15.45,14.05,15.45
2022-01-04 9:15:00,2022,1,4,27-Jan-22,9:15:00,15650,8.2,8.2,8.2,8.2
2022-01-05 9:15:00,2022,1,5,27-Jan-22,9:15:00,15650,5.1,5.1,5.1,5.1
2022-01-21 9:15:00,2022,1,21,27-Jan-22,9:15:00,15650,2.6,2.65,2,2.25
2022-01-24 9:15:00,2022,1,24,27-Jan-22,9:15:00,15650,1.4,1.85,1.1,1.35
2022-01-25 9:15:00,2022,1,25,27-Jan-22,9:15:00,15650,5.5,9.8,2.65,4.75
2022-01-27 9:15:00,2022,1,27,27-Jan-22,9:15:00,15650,2.25,2.25,0.35,0.5
2022-01-03 9:15:00,2022,1,3,27-Jan-22,9:15:00,15700,18.3,18.3,14.45,14.6
2022-01-04 9:15:00,2022,1,4,27-Jan-22,9:15:00,15700,12.05,12.05,10,10.25
2022-01-05 9:15:00,2022,1,5,27-Jan-22,9:15:00,15700,9.85,11.5,9.3,10.2
2022-01-06 9:15:00,2022,1,6,27-Jan-22,9:15:00,15700,12.7,16.45,12.7,14.25
2022-01-07 9:15:00,2022,1,7,27-Jan-22,9:15:00,15700,9.75,9.75,8,8.2
2022-01-10 9:15:00,2022,1,10,27-Jan-22,9:15:00,15700,6,6.55,5.15,6.1
2022-01-11 9:15:00,2022,1,11,27-Jan-22,9:15:00,15700,5,6.3,5,5.25
2022-01-12 9:15:00,2022,1,12,27-Jan-22,9:15:00,15700,4.25,4.75,4.05,4.5
2022-01-13 9:15:00,2022,1,13,27-Jan-22,9:15:00,15700,5.5,5.5,3.6,4.65
2022-01-14 9:15:00,2022,1,14,27-Jan-22,9:15:00,15700,5.25,5.25,3.75,4.25
2022-01-17 9:15:00,2022,1,17,27-Jan-22,9:15:00,15700,4.75,4.75,2.4,2.7
2022-01-18 9:15:00,2022,1,18,27-Jan-22,9:15:00,15700,2.3,2.3,2.05,2.3
2022-01-19 9:15:00,2022,1,19,27-Jan-22,9:15:00,15700,2.1,2.4,2.1,2.2
2022-01-20 9:15:00,2022,1,20,27-Jan-22,9:15:00,15700,1.35,1.4,1.35,1.4
2022-01-21 9:15:00,2022,1,21,27-Jan-22,9:15:00,15700,1.95,2.75,1.95,2.2
2022-01-24 9:15:00,2022,1,24,27-Jan-22,9:15:00,15700,1.7,1.75,1.25,1.35
2022-01-25 9:15:00,2022,1,25,27-Jan-22,9:15:00,15700,3.05,10.75,3.05,5.25
2022-01-27 9:15:00,2022,1,27,27-Jan-22,9:15:00,15700,0.7,1.15,0.45,0.55
2022-01-04 9:15:00,2022,1,4,27-Jan-22,9:15:00,15750,9.15,9.15,9.15,9.15
2022-01-05 9:15:00,2022,1,5,27-Jan-22,9:15:00,15750,11.95,11.95,11.95,11.95
2022-01-06 9:15:00,2022,1,6,27-Jan-22,9:15:00,15750,13.35,15,9.5,15
2022-01-12 9:15:00,2022,1,12,27-Jan-22,9:15:00,15750,3,3,3,3
2022-01-20 9:15:00,2022,1,20,27-Jan-22,9:15:00,15750,3,3,3,3
2022-01-21 9:15:00,2022,1,21,27-Jan-22,9:15:00,15750,2.65,2.7,2.1,2.3
2022-01-24 9:15:00,2022,1,24,27-Jan-22,9:15:00,15750,1.2,1.35,1.2,1.35
2022-01-25 9:15:00,2022,1,25,27-Jan-22,9:15:00,15750,6.85,11.85,3.85,5.85
2022-01-27 9:15:00,2022,1,27,27-Jan-22,9:15:00,15750,1,1.35,0.3,0.6
2022-01-03 9:15:00,2022,1,3,27-Jan-22,9:15:00,15800,19.55,19.55,16.3,16.65
2022-01-04 9:15:00,2022,1,4,27-Jan-22,9:15:00,15800,11.35,12.45,10.35,11.85
2022-01-05 9:15:00,2022,1,5,27-Jan-22,9:15:00,15800,10.15,11.4,10.1,10.8
2022-01-06 9:15:00,2022,1,6,27-Jan-22,9:15:00,15800,29.95,29.95,13.1,15.75
2022-01-07 9:15:00,2022,1,7,27-Jan-22,9:15:00,15800,10.8,10.8,9.1,9.35
2022-01-10 9:15:00,2022,1,10,27-Jan-22,9:15:00,15800,6.65,7.8,6.2,7.1
2022-01-11 9:15:00,2022,1,11,27-Jan-22,9:15:00,15800,5.25,6.9,5.25,6.25
2022-01-12 9:15:00,2022,1,12,27-Jan-22,9:15:00,15800,4.9,6.45,4.55,5.05
2022-01-13 9:15:00,2022,1,13,27-Jan-22,9:15:00,15800,5.8,5.8,4.7,5.55
2022-01-14 9:15:00,2022,1,14,27-Jan-22,9:15:00,15800,3,4.85,3,4.3
2022-01-17 9:15:00,2022,1,17,27-Jan-22,9:15:00,15800,3.55,3.6,2.9,3.1
2022-01-18 9:15:00,2022,1,18,27-Jan-22,9:15:00,15800,2.7,2.7,2.05,2.05
2022-01-19 9:15:00,2022,1,19,27-Jan-22,9:15:00,15800,2.4,2.4,2.15,2.35
2022-01-20 9:15:00,2022,1,20,27-Jan-22,9:15:00,15800,1.6,1.6,1.55,1.55
2022-01-21 9:15:00,2022,1,21,27-Jan-22,9:15:00,15800,2.2,3,2.15,2.4
2022-01-24 9:15:00,2022,1,24,27-Jan-22,9:15:00,15800,1.6,1.75,1.3,1.4
2022-01-25 9:15:00,2022,1,25,27-Jan-22,9:15:00,15800,6.5,13.05,5.1,6.35
2022-01-27 9:15:00,2022,1,27,27-Jan-22,9:15:00,15800,1.5,1.5,0.45,0.65
2022-01-03 9:15:00,2022,1,3,27-Jan-22,9:15:00,15850,18.7,18.75,18.7,18.75
